car_id,car_name,airbags,aircon,doors,groups,seats,transmission,mileage,rental_price_per_day
728723191,Fiat 500,1,1,4,Mini,5,Manual,200 miles per rental,75.0
691529366,Kia Rio,1,1,4,Economy,5,Manual,200 miles per rental,85.62
691529536,Kia Stonic,1,1,4,Compact,5,Manual,200 miles per rental,95.56
691529351,Seat Leon,1,1,4,Compact,5,Manual,200 miles per rental,90.64
691529441,Honda CR-V,1,1,4,Intermediate,5,Manual,200 miles per rental,109.6
728723216,Volkswagen Golf,1,1,4,Compact,5,Manual,200 miles per rental,90.62
699298791,Nissan Qashqai,1,1,4,Intermediate,5,Manual,400 miles per rental,112.16
738669556,Nissan Qashqai   ,1,1,4,Intermediate,5,Manual,Unlimited mileage,114.3
691529431,Ford Mondeo,1,1,5,Standard,5,Manual,200 miles per rental,107.91
745686606,Kia Sportage,1,1,5,Standard,5,Manual,Unlimited mileage,125.64
699254971,Vauxhall Corsa,1,1,4,Economy,5,Manual,400 miles per rental,93.83
712385081,Nissan Qashqai   ,1,1,4,Intermediate,5,Manual,Unlimited mileage,151.68
740439691,Polestar 2,1,1,5,Premium,5,Automatic,600 miles per rental,118.3
738651026,Vauxhall Crossland X,1,1,4,Compact,5,Manual,Unlimited mileage,117.35
739391166,Peugeot 2008,1,1,4,Compact,5,Manual,Unlimited mileage,131.98
672007301,Vauxhall Crossland X,1,1,4,Compact,5,Manual,Unlimited mileage,131.98
673966761,Peugeot 2008,1,1,4,Compact,5,Manual,Unlimited mileage,131.98
728723201,Ford Fiesta,1,1,4,Economy,5,Manual,200 miles per rental,87.5
537142658,Vauxhall Corsa,1,1,2,Economy,4,Manual,Unlimited mileage,102.91
712319871,Ford Focus,1,1,4,Compact,5,Manual,Unlimited mileage,117.01
738750416,Vauxhall Crossland X,1,1,4,Compact,5,Manual,400 miles per rental,115.16
728723226,Volkswagen Passat,1,1,4,Standard,5,Manual,200 miles per rental,106.25
710800766,Citroen C3 Aircross,1,1,4,Compact,5,Manual,Unlimited mileage,131.98
699340901,Fiat 500,1,1,2,Mini,4,Manual,400 miles per rental,92.06
699242306,Ford Focus,1,1,4,Compact,5,Manual,400 miles per rental,110.47
700671878,Ford Focus,1,1,4,Compact,5,Manual,Unlimited mileage,112.61
537142623,Vauxhall Astra,1,1,4,Compact,5,Manual,Unlimited mileage,131.98
711632846,Fiat 500,1,0,2,Mini,4,Manual,Unlimited mileage,100.3
668700381,Fiat 500,1,1,2,Mini,4,Manual,Unlimited mileage,100.3
713364951,Nissan Qashqai,1,1,4,Intermediate,5,Manual,Unlimited mileage,197.25
743014606,Volvo XC40,1,1,5,Standard,5,Automatic,Unlimited mileage,377.96
700717048,Vauxhall Corsa,1,1,4,Economy,4,Manual,Unlimited mileage,95.76
738556376,Volvo XC40,1,1,5,Standard,5,Automatic,Unlimited mileage,248.18
712343161,Vauxhall Corsa,1,1,2,Economy,4,Manual,Unlimited mileage,114.68
712412361,Toyota Aygo,1,1,2,Mini,4,Manual,Unlimited mileage,104.43
712381201,Nissan Qashqai   ,1,1,4,Intermediate,5,Automatic,Unlimited mileage,206.77
668705231,Hyundai Tucson,1,1,5,Standard,5,Manual,Unlimited mileage,164.97
710807096,Hyundai Tucson,1,1,4,Standard,5,Manual,Unlimited mileage,164.97
713358351,Nissan Qashqai   ,1,1,4,Intermediate,5,Automatic,Unlimited mileage,237.59
700948158,Fiat 500,1,1,2,Mini,4,Manual,Unlimited mileage,93.96
740451651,Tesla Model 3,1,1,4,Full-size,5,Automatic,600 miles per rental,153.07
732373806,Peugeot e-208 GPS,1,1,4,Economy,5,Automatic,200 miles per rental,109.58
627374093,Peugeot 208,1,1,4,Economy,5,Manual,Unlimited mileage,125.37
668690291,Volkswagen Polo,1,1,4,Economy,5,Manual,Unlimited mileage,125.37
723949466,Audi Q3,1,1,4,Premium,5,Automatic,450 miles per rental,326.96
723939191,Volkswagen T-Cross,1,1,4,Compact,5,Manual,450 miles per rental,143.98
728723251,Seat Alhambra,1,1,4,Full-size,7,Automatic,200 miles per rental,915.0
691529356,Seat Leon Estate,1,1,4,Compact,5,Manual,200 miles per rental,129.02
627374038,Volkswagen Golf,1,1,4,Compact,5,Manual,Unlimited mileage,145.17
668687866,Volkswagen Golf,1,1,5,Compact,5,Manual,Unlimited mileage,145.17
627374058,Mercedes C-Class,1,1,5,Premium,5,Automatic,Unlimited mileage,374.24
671144766,Mercedes C-Class,1,1,4,Premium,5,Automatic,Unlimited mileage,374.24
712423811,Mercedes C-Class,1,1,5,Premium,5,Automatic,Unlimited mileage,564.63
723941471,Fiat 500,1,1,2,Economy,4,Manual,450 miles per rental,122.98
723939951,Peugeot 308,1,1,4,Compact,5,Manual,450 miles per rental,131.98
723937671,Audi A1,1,1,2,Compact,4,Manual,450 miles per rental,133.99
691529446,Honda CR-V,1,1,4,Intermediate,5,Automatic,200 miles per rental,196.11
738541856,Mazda MX-30,1,1,4,Compact,5,Automatic,Unlimited mileage,217.12
