reservation_id,user_id,car_id,supplier_id,city,rental_length,start_date,start_time,return_date,return_time,deposit_price,drive_away_price,price,rundate
590816,70,728723191,1,London,2,2023-07-25,10:00,2023-07-27,10:00,75.0,75.0,75.0,2023-07-23 05:05:17
386634,98,691529366,2,London,2,2023-07-25,10:00,2023-07-27,10:00,85.62,85.62,85.62,2023-07-23 05:05:17
110635,32,691529536,3,London,2,2023-07-25,10:00,2023-07-27,10:00,95.56,95.56,95.56,2023-07-23 05:05:17
536947,68,691529351,4,London,2,2023-07-25,10:00,2023-07-27,10:00,90.64,90.64,90.64,2023-07-23 05:05:17
87322,25,691529441,5,London,2,2023-07-25,10:00,2023-07-27,10:00,109.6,109.6,109.6,2023-07-23 05:05:17
171159,56,728723216,6,London,2,2023-07-25,10:00,2023-07-27,10:00,90.62,90.62,90.62,2023-07-23 05:05:17
535756,66,699298791,7,London,2,2023-07-25,10:00,2023-07-27,10:00,112.16,112.16,112.16,2023-07-23 05:05:17
252617,25,738669556,8,London,2,2023-07-25,10:00,2023-07-27,10:00,114.3,136.02,114.3,2023-07-23 05:05:17
414800,30,691529431,9,London,2,2023-07-25,10:00,2023-07-27,10:00,107.91,107.91,107.91,2023-07-23 05:05:17
754715,91,745686606,10,London,2,2023-07-25,10:00,2023-07-27,10:00,125.64,149.51,125.64,2023-07-23 05:05:17
251077,16,699254971,11,London,2,2023-07-25,10:00,2023-07-27,10:00,93.83,93.83,93.83,2023-07-23 05:05:17
723695,94,712385081,12,London,2,2023-07-25,10:00,2023-07-27,10:00,151.68,151.68,151.68,2023-07-23 05:05:17
849381,117,740439691,13,London,2,2023-07-25,10:00,2023-07-27,10:00,118.3,118.3,118.3,2023-07-23 05:05:17
784495,39,738651026,14,London,2,2023-07-25,10:00,2023-07-27,10:00,117.35,139.65,117.35,2023-07-23 05:05:17
199179,10,739391166,15,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
438895,28,672007301,16,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
194243,20,673966761,17,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
647522,63,728723201,18,London,2,2023-07-25,10:00,2023-07-27,10:00,87.5,87.5,87.5,2023-07-23 05:05:17
8278,56,537142658,19,London,2,2023-07-25,10:00,2023-07-27,10:00,102.91,102.91,102.91,2023-07-23 05:05:17
39952,119,712319871,20,London,2,2023-07-25,10:00,2023-07-27,10:00,117.01,117.01,117.01,2023-07-23 05:05:17
143960,59,738750416,21,London,2,2023-07-25,10:00,2023-07-27,10:00,115.16,115.16,115.16,2023-07-23 05:05:17
626611,117,728723226,22,London,2,2023-07-25,10:00,2023-07-27,10:00,106.25,106.25,106.25,2023-07-23 05:05:17
291386,28,710800766,23,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
655102,70,699340901,24,London,2,2023-07-25,10:00,2023-07-27,10:00,92.06,92.06,92.06,2023-07-23 05:05:17
278693,11,699242306,25,London,2,2023-07-25,10:00,2023-07-27,10:00,110.47,110.47,110.47,2023-07-23 05:05:17
66394,104,700671878,26,London,2,2023-07-25,10:00,2023-07-27,10:00,112.61,134.01,112.61,2023-07-23 05:05:17
458503,65,537142623,27,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
628978,68,711632846,28,London,2,2023-07-25,10:00,2023-07-27,10:00,100.3,100.3,100.3,2023-07-23 05:05:17
109684,121,668700381,29,London,2,2023-07-25,10:00,2023-07-27,10:00,100.3,100.3,100.3,2023-07-23 05:05:17
207219,88,713364951,30,London,2,2023-07-25,10:00,2023-07-27,10:00,197.25,197.25,197.25,2023-07-23 05:05:17
408300,29,743014606,31,London,2,2023-07-25,10:00,2023-07-27,10:00,377.96,377.96,377.96,2023-07-23 05:05:17
732328,112,700717048,32,London,2,2023-07-25,10:00,2023-07-27,10:00,95.76,113.95,95.76,2023-07-23 05:05:17
976400,55,738556376,33,London,2,2023-07-25,10:00,2023-07-27,10:00,248.18,248.18,248.18,2023-07-23 05:05:17
797849,81,712343161,34,London,2,2023-07-25,10:00,2023-07-27,10:00,114.68,114.68,114.68,2023-07-23 05:05:17
951544,31,712412361,35,London,2,2023-07-25,10:00,2023-07-27,10:00,104.43,104.43,104.43,2023-07-23 05:05:17
683765,11,712381201,36,London,2,2023-07-25,10:00,2023-07-27,10:00,206.77,206.77,206.77,2023-07-23 05:05:17
731988,81,668705231,37,London,2,2023-07-25,10:00,2023-07-27,10:00,164.97,164.97,164.97,2023-07-23 05:05:17
222056,32,710807096,38,London,2,2023-07-25,10:00,2023-07-27,10:00,164.97,164.97,164.97,2023-07-23 05:05:17
562905,15,713358351,39,London,2,2023-07-25,10:00,2023-07-27,10:00,237.59,237.59,237.59,2023-07-23 05:05:17
495548,65,700948158,40,London,2,2023-07-25,10:00,2023-07-27,10:00,93.96,111.81,93.96,2023-07-23 05:05:17
627410,42,740451651,41,London,2,2023-07-25,10:00,2023-07-27,10:00,153.07,153.07,153.07,2023-07-23 05:05:17
215922,110,732373806,42,London,2,2023-07-25,10:00,2023-07-27,10:00,109.58,109.58,109.58,2023-07-23 05:05:17
245254,52,627374093,43,London,2,2023-07-25,10:00,2023-07-27,10:00,125.37,125.37,125.37,2023-07-23 05:05:17
637462,37,668690291,44,London,2,2023-07-25,10:00,2023-07-27,10:00,125.37,125.37,125.37,2023-07-23 05:05:17
524099,28,723949466,45,London,2,2023-07-25,10:00,2023-07-27,10:00,326.96,326.96,326.96,2023-07-23 05:05:17
962720,41,723939191,46,London,2,2023-07-25,10:00,2023-07-27,10:00,143.98,143.98,143.98,2023-07-23 05:05:17
676428,20,728723251,47,London,2,2023-07-25,10:00,2023-07-27,10:00,915.0,915.0,915.0,2023-07-23 05:05:17
14794,48,691529356,48,London,2,2023-07-25,10:00,2023-07-27,10:00,129.02,129.02,129.02,2023-07-23 05:05:17
638906,104,627374038,49,London,2,2023-07-25,10:00,2023-07-27,10:00,145.17,145.17,145.17,2023-07-23 05:05:17
708151,75,668687866,50,London,2,2023-07-25,10:00,2023-07-27,10:00,145.17,145.17,145.17,2023-07-23 05:05:17
209777,46,627374058,51,London,2,2023-07-25,10:00,2023-07-27,10:00,374.24,374.24,374.24,2023-07-23 05:05:17
164904,87,671144766,52,London,2,2023-07-25,10:00,2023-07-27,10:00,374.24,374.24,374.24,2023-07-23 05:05:17
703225,48,712423811,53,London,2,2023-07-25,10:00,2023-07-27,10:00,564.63,564.63,564.63,2023-07-23 05:05:17
538830,131,723941471,54,London,2,2023-07-25,10:00,2023-07-27,10:00,122.98,122.98,122.98,2023-07-23 05:05:17
446174,121,723939951,55,London,2,2023-07-25,10:00,2023-07-27,10:00,131.98,131.98,131.98,2023-07-23 05:05:17
885514,77,723937671,56,London,2,2023-07-25,10:00,2023-07-27,10:00,133.99,133.99,133.99,2023-07-23 05:05:17
870138,44,691529446,57,London,2,2023-07-25,10:00,2023-07-27,10:00,196.11,196.11,196.11,2023-07-23 05:05:17
481588,50,738541856,58,London,2,2023-07-25,10:00,2023-07-27,10:00,217.12,217.12,217.12,2023-07-23 05:05:17
50746,59,739428971,59,London,2,2023-07-25,10:00,2023-07-27,10:00,217.12,217.12,217.12,2023-07-23 05:05:17
790790,27,691529341,60,London,2,2023-07-25,10:00,2023-07-27,10:00,135.54,135.54,135.54,2023-07-23 05:05:17
9604,71,728007666,61,London,2,2023-07-25,10:00,2023-07-27,10:00,582.1,582.1,582.1,2023-07-23 05:05:17
625130,132,738593606,62,London,2,2023-07-25,10:00,2023-07-27,10:00,261.35,261.35,261.35,2023-07-23 05:05:17
336380,52,691529541,63,London,2,2023-07-25,10:00,2023-07-27,10:00,156.09,156.09,156.09,2023-07-23 05:05:17
295866,110,723947946,64,London,2,2023-07-25,10:00,2023-07-27,10:00,366.98,366.98,366.98,2023-07-23 05:05:17
230258,63,743084806,65,London,2,2023-07-25,10:00,2023-07-27,10:00,184.78,184.78,184.78,2023-07-23 05:05:17
602461,91,691529371,66,London,2,2023-07-25,10:00,2023-07-27,10:00,134.19,134.19,134.19,2023-07-23 05:05:17
778862,105,728723221,67,London,2,2023-07-25,10:00,2023-07-27,10:00,133.75,133.75,133.75,2023-07-23 05:05:17
502765,19,745204666,68,London,2,2023-07-25,10:00,2023-07-27,10:00,134.38,134.38,134.38,2023-07-23 05:05:17
278739,38,723938431,69,London,2,2023-07-25,10:00,2023-07-27,10:00,124.99,124.99,124.99,2023-07-23 05:05:17
745635,12,741205406,70,London,2,2023-07-25,10:00,2023-07-27,10:00,231.42,231.42,231.42,2023-07-23 05:05:17
967033,21,738527336,71,London,2,2023-07-25,10:00,2023-07-27,10:00,227.49,227.49,227.49,2023-07-23 05:05:17
419979,22,712339161,72,London,2,2023-07-25,10:00,2023-07-27,10:00,148.11,148.11,148.11,2023-07-23 05:05:17
194056,108,739463806,73,London,2,2023-07-25,10:00,2023-07-27,10:00,249.48,249.48,249.48,2023-07-23 05:05:17
599313,74,723949086,74,London,2,2023-07-25,10:00,2023-07-27,10:00,254.98,254.98,254.98,2023-07-23 05:05:17
243409,84,732371316,75,London,2,2023-07-25,10:00,2023-07-27,10:00,160.67,160.67,160.67,2023-07-23 05:05:17
348918,68,712354991,76,London,2,2023-07-25,10:00,2023-07-27,10:00,152.75,152.75,152.75,2023-07-23 05:05:17
112082,97,742557831,77,London,2,2023-07-25,10:00,2023-07-27,10:00,250.0,250.0,250.0,2023-07-23 05:05:17
545402,43,723950986,78,London,2,2023-07-25,10:00,2023-07-27,10:00,206.96,206.96,206.96,2023-07-23 05:05:17
409443,47,747757236,79,London,2,2023-07-25,10:00,2023-07-27,10:00,324.96,324.96,324.96,2023-07-23 05:05:17
550843,17,723952886,80,London,2,2023-07-25,10:00,2023-07-27,10:00,402.96,402.96,402.96,2023-07-23 05:05:17
574144,133,712393031,81,London,2,2023-07-25,10:00,2023-07-27,10:00,577.48,577.48,577.48,2023-07-23 05:05:17
663601,90,728723206,82,London,2,2023-07-25,10:00,2023-07-27,10:00,133.12,133.12,133.12,2023-07-23 05:05:17
702384,128,713251051,83,London,2,2023-07-25,10:00,2023-07-27,10:00,158.15,158.15,158.15,2023-07-23 05:05:17
51764,118,728723211,84,London,2,2023-07-25,10:00,2023-07-27,10:00,132.5,132.5,132.5,2023-07-23 05:05:17
4292,41,723944906,85,London,2,2023-07-25,10:00,2023-07-27,10:00,191.96,191.96,191.96,2023-07-23 05:05:17
896745,39,723942626,86,London,2,2023-07-25,10:00,2023-07-27,10:00,278.98,278.98,278.98,2023-07-23 05:05:17
947148,105,732064366,87,London,2,2023-07-25,10:00,2023-07-27,10:00,150.21,150.21,150.21,2023-07-23 05:05:17
734685,40,723944146,88,London,2,2023-07-25,10:00,2023-07-27,10:00,160.99,160.99,160.99,2023-07-23 05:05:17
598321,61,728120601,89,London,2,2023-07-25,10:00,2023-07-27,10:00,595.33,595.33,595.33,2023-07-23 05:05:17
18695,84,723945666,90,London,2,2023-07-25,10:00,2023-07-27,10:00,152.96,152.96,152.96,2023-07-23 05:05:17
764387,84,723944526,91,London,2,2023-07-25,10:00,2023-07-27,10:00,230.99,230.99,230.99,2023-07-23 05:05:17
409837,41,732370086,92,London,2,2023-07-25,10:00,2023-07-27,10:00,163.94,163.94,163.94,2023-07-23 05:05:17
993075,55,728057206,93,London,2,2023-07-25,10:00,2023-07-27,10:00,155.0,155.0,155.0,2023-07-23 05:05:17
723918,41,713207411,94,London,2,2023-07-25,10:00,2023-07-27,10:00,164.58,164.58,164.58,2023-07-23 05:05:17
470025,136,738512816,95,London,2,2023-07-25,10:00,2023-07-27,10:00,171.44,171.44,171.44,2023-07-23 05:05:17
885067,119,713196471,96,London,2,2023-07-25,10:00,2023-07-27,10:00,197.25,197.25,197.25,2023-07-23 05:05:17
875196,3,742557811,97,London,2,2023-07-25,10:00,2023-07-27,10:00,197.5,197.5,197.5,2023-07-23 05:05:17
684383,20,738611426,98,London,2,2023-07-25,10:00,2023-07-27,10:00,216.97,216.97,216.97,2023-07-23 05:05:17
284684,129,723938811,99,London,2,2023-07-25,10:00,2023-07-27,10:00,189.97,189.97,189.97,2023-07-23 05:05:17
32712,123,723943766,100,London,2,2023-07-25,10:00,2023-07-27,10:00,193.99,193.99,193.99,2023-07-23 05:05:17
749285,73,723950606,101,London,2,2023-07-25,10:00,2023-07-27,10:00,190.98,190.98,190.98,2023-07-23 05:05:17
463472,55,742557816,102,London,2,2023-07-25,10:00,2023-07-27,10:00,182.5,182.5,182.5,2023-07-23 05:05:17
936384,101,723950226,103,London,2,2023-07-25,10:00,2023-07-27,10:00,219.98,219.98,219.98,2023-07-23 05:05:17
628514,81,713315721,104,London,2,2023-07-25,10:00,2023-07-27,10:00,193.28,193.28,193.28,2023-07-23 05:05:17
917578,44,713244621,105,London,2,2023-07-25,10:00,2023-07-27,10:00,187.36,187.36,187.36,2023-07-23 05:05:17
271402,71,723941866,106,London,2,2023-07-25,10:00,2023-07-27,10:00,234.97,234.97,234.97,2023-07-23 05:05:17
7560,1,742557806,107,London,2,2023-07-25,10:00,2023-07-27,10:00,240.0,240.0,240.0,2023-07-23 05:05:17
946536,71,627374008,108,London,2,2023-07-25,10:00,2023-07-27,10:00,231.42,231.42,231.42,2023-07-23 05:05:17
29960,1,723939571,109,London,2,2023-07-25,10:00,2023-07-27,10:00,173.96,173.96,173.96,2023-07-23 05:05:17
491033,58,723937291,110,London,2,2023-07-25,10:00,2023-07-27,10:00,177.96,177.96,177.96,2023-07-23 05:05:17
418634,76,723938051,111,London,2,2023-07-25,10:00,2023-07-27,10:00,165.98,165.98,165.98,2023-07-23 05:05:17
249142,18,723945286,112,London,2,2023-07-25,10:00,2023-07-27,10:00,184.98,184.98,184.98,2023-07-23 05:05:17
