hotel_id,hotel_name,contact_number,city,starrating
894573,Gates Group,+1-619-248-8433x98048,New Michael,2 Star
342236,Medina Inc,559-765-8931x957,Jacobsfurt,4 Star
112640,"Williams, Dorsey and Lane",442.770.6048,Hallmouth,5 Star
968654,Wall-Rodriguez,856.735.4226x0157,Phillipston,5 Star
944717,"Thomas, Harris and Chen",001-430-526-7579x4738,North Maryfort,4 Star
226303,"Cardenas, James and Garrett",+1-739-929-9301x393,Paulafort,2 Star
145673,Johnson Ltd,(376)277-2042x2897,South Denisestad,3 Star
414489,"Taylor, Gill and Wheeler",490.757.2987x3046,Ryanbury,2 Star
900504,Dixon Group,001-388-799-8080x25350,Hugheshaven,1 Star
306035,Hobbs-Hayes,474.311.2041,Port Michele,4 Star
246907,Atkinson-Carey,(762)732-7905,East Corey,1 Star
326047,"Reid, Thompson and Boyle",408.880.8956,Port Amy,2 Star
963755,"Bush, Banks and Chaney",298.466.1357x0551,Greenview,4 Star
114721,Hernandez LLC,001-394-309-8784,East Deanna,4 Star
993794,Richardson Inc,308.836.6916x8820,South Paulbury,4 Star
86255,Dixon-Brown,261.694.8709,West Charlesburgh,4 Star
801604,Hall LLC,(742)758-6751x8038,New Timothy,2 Star
986742,"Davis, Thomas and Lyons",+1-670-396-2695x5645,Lake Douglas,5 Star
47919,Jordan-Adams,229-267-5846x99267,New Erinburgh,1 Star
484211,"Brewer, Robinson and Kline",(638)726-8751x09885,North Rogerstad,4 Star
568432,Fernandez Ltd,+1-313-952-7179x07273,Michaelmouth,5 Star
467844,Fox-Garrison,(321)555-7804x785,Judyville,4 Star
408303,Watson PLC,001-869-202-2041x97396,South Kenneth,1 Star
374558,Colon and Sons,472.413.4215x369,Kellymouth,5 Star
654651,Davenport Ltd,399-979-6457,Coxview,2 Star
313181,"Lewis, Chavez and Johnson",384-462-7881,Michaelfort,1 Star
94835,"Valentine, James and Hall",925-695-8538x2763,Tinafurt,4 Star
923692,Mooney Inc,8688754133,Westton,3 Star
530877,"Martinez, Flynn and Perkins",(275)491-4648x843,Hayesmouth,5 Star
172240,Smith-Johnson,324.454.4555x73285,Tamaraport,3 Star
833900,"Reed, Harris and Mason",001-338-338-0767x51072,Alyssaborough,2 Star
473639,"Atkins, Peters and Smith",+1-469-905-6014x181,Cortezfort,3 Star
343054,Mccoy Group,784.303.6370,Port Alex,4 Star
898224,Smith PLC,463.499.7548x9176,Collinston,1 Star
580305,Combs LLC,279.983.2790x37339,Lake Lisa,2 Star
521436,Grant and Sons,898-581-2203x128,Lake James,5 Star
625256,Ayala-Williams,220-367-6223x9577,West Alexandriatown,1 Star
