room_id,hotel_id,room_number,room_type,room_price,occupancy_limit,room_status
29392,615320,104,positive,69,4,False
8209,66887,284,doctor,51,4,True
90042,712109,857,produce,58,4,False
85665,822574,109,front,97,1,False
66599,465461,708,center,83,2,False
78016,971584,758,listen,124,2,False
74698,519452,653,white,60,2,True
40102,226303,603,myself,116,4,False
87326,382147,529,white,144,3,True
48274,499456,290,like,104,4,False
51875,862632,310,degree,130,4,False
17235,470184,743,them,136,4,False
40170,654651,297,wear,186,4,False
3661,585517,699,ready,64,2,True
69836,712109,603,agent,108,1,True
40805,326621,925,measure,68,2,True
86485,384244,189,write,146,2,False
37968,890094,619,allow,70,4,False
88591,543721,468,increase,145,4,True
35148,610697,678,I,198,2,False
91670,13265,597,red,64,4,False
89857,86255,161,reveal,130,3,False
26030,5391,122,hand,116,2,False
99747,406494,970,perhaps,62,2,False
82715,285753,470,know,75,3,False
60738,306193,347,gun,133,2,False
2006,112640,389,eight,113,4,True
36876,434793,661,fund,197,4,True
62535,618291,424,live,75,1,True
10321,956623,267,understand,53,2,False
51959,570204,737,drive,198,2,False
53680,710422,807,two,198,3,True
21505,10229,664,despite,59,1,False
88701,820672,657,medical,134,2,True
9820,127042,785,military,190,1,True
96725,76305,617,increase,186,2,True
8649,282559,710,certain,89,1,False
44373,28277,300,this,149,2,False
25681,10229,313,anything,119,1,False
60818,467502,682,politics,52,1,False
65171,580305,349,toward,59,3,True
35545,149798,943,try,59,1,True
84323,898224,440,newspaper,133,4,True
96206,599013,551,one,154,4,True
11332,807448,194,expert,130,3,True
22086,223245,334,return,180,1,False
11480,408303,964,join,74,2,False
42343,376671,637,early,184,1,True
27031,172240,584,kitchen,163,1,False
33112,519452,811,gas,76,2,True
97026,484211,880,town,83,4,True
24454,968962,767,evidence,78,4,True
48401,890094,803,student,102,1,False
57059,139134,669,miss,103,1,False
68267,820272,624,whatever,123,1,False
54874,205375,589,painting,119,3,False
81882,801604,523,site,141,4,False
36705,407972,615,among,170,2,False
29479,226303,978,can,151,2,False
70124,391270,183,cause,152,3,True
90419,523856,856,specific,195,3,False
43367,260884,696,power,154,2,True
87120,900504,756,yourself,151,2,True
92266,470184,901,own,133,3,True
13519,807448,576,local,95,1,False
69200,108562,748,various,77,2,False
12254,610697,676,score,85,2,True
95380,712109,730,cover,53,4,True
33603,10229,163,full,142,4,True
20878,523856,979,town,143,2,False
38611,226303,429,project,185,1,False
23055,804518,863,health,124,1,True
2731,306035,411,throughout,106,3,True
68909,10229,686,week,175,2,True
6410,792939,465,cold,171,4,True
89339,206403,348,economic,90,2,False
24050,366375,118,mind,62,2,True
40015,313181,152,life,192,4,True
46975,568432,355,color,172,4,False
5556,690831,783,hot,53,2,False
55518,227880,557,likely,114,4,True
32211,223245,921,bit,152,3,True
94530,972595,754,drop,124,1,True
85945,374558,295,community,188,4,False
68388,465461,923,hand,111,3,True
42770,286438,523,painting,120,3,True
4703,260884,867,recent,130,3,False
57720,980543,999,bank,130,2,False
77931,467844,577,leave,196,3,False
90520,724354,390,someone,97,3,True
73535,468472,925,board,200,3,True
83893,543721,643,reach,70,2,True
41743,607054,463,return,155,1,True
18426,599013,541,relationship,196,2,True
86701,184123,203,serious,91,4,False
12976,331138,797,choose,176,3,False
52228,42607,192,which,171,2,False
92372,366605,521,per,83,3,False
87023,820672,223,million,106,4,True
72644,246907,195,night,197,2,False
68664,366605,413,administration,114,1,False
97425,28277,305,financial,91,2,True
52511,543721,985,hotel,174,2,False
65462,887437,914,role,180,4,True
49912,535365,905,central,196,2,True
23631,259110,527,this,78,1,False
27864,370440,447,per,56,2,True
84146,331138,537,article,97,4,True
78529,408303,190,serve,124,3,False
45647,109008,687,might,124,4,True
75484,844838,701,social,135,4,True
26596,769300,454,movie,50,2,True
67436,602860,934,with,57,3,False
95332,599013,728,none,51,1,False
69379,663113,115,until,160,3,True
73828,285753,168,suggest,180,4,True
48813,259110,548,per,126,1,True
21030,97333,110,our,148,3,True
27643,773727,103,change,90,3,False
66359,392955,327,table,112,1,True
37992,5391,368,significant,156,4,False
10738,902975,557,will,153,2,True
80023,184123,376,really,98,1,False
63215,168178,592,foreign,162,1,True
19275,407972,491,account,161,4,False
96296,807327,839,his,112,1,True
680,417564,946,change,127,1,False
78402,171956,191,need,155,2,True
1561,313181,276,nothing,129,2,False
39505,571509,186,whole,100,4,False
84525,724354,832,put,140,2,False
74266,516828,389,a,142,3,False
6889,9027,603,support,100,2,False
40731,654651,600,particularly,144,4,True
91391,108562,674,season,79,1,True
23879,804518,660,TV,98,3,True
29628,516828,363,heavy,90,1,True
19533,838923,320,professional,199,4,False
28640,522988,468,business,136,1,False
44740,465461,935,foreign,71,4,True
7403,829195,986,note,160,1,True
61710,37701,381,team,80,3,True
20163,434793,167,happy,145,1,False
11723,844838,314,total,168,3,True
60,350708,694,bank,104,2,False
17829,816605,929,experience,98,4,False
94843,986742,931,can,166,3,False
68608,417508,650,per,65,1,False
35003,570204,704,know,111,4,False
38266,567566,506,religious,142,4,False
43984,223245,597,put,160,1,False
60421,343054,407,she,60,2,False
82253,944717,972,detail,167,3,False
77246,392955,692,would,198,1,False
95973,172240,802,name,136,4,False
4368,168178,936,everyone,130,2,False
28326,226303,595,some,135,2,True
70535,462714,478,toward,154,2,False
55443,326047,675,mission,139,3,False
89271,391270,402,them,177,4,False
7234,406494,364,make,62,3,False
30566,902975,731,public,184,3,True
58940,172240,381,expert,136,2,True
99158,13265,526,story,162,1,True
75294,382147,694,TV,189,2,False
21585,986742,440,man,132,3,True
29925,902975,608,lawyer,136,3,True
15136,228812,755,see,100,1,True
85662,205375,284,myself,129,2,True
845,833900,525,on,152,2,False
60452,47919,455,information,85,3,False
67441,145673,259,because,132,1,False
57679,228812,803,success,188,4,True
30536,407972,834,account,149,3,True
99003,226303,387,water,108,4,True
42372,580305,411,meeting,92,1,True
54391,829195,994,see,169,1,True
22234,696012,897,skin,81,2,False
32669,10229,924,radio,94,1,False
11575,463379,857,nothing,149,2,False
17254,192129,207,work,140,4,True
11053,406494,866,writer,90,4,False
83848,331138,455,them,193,2,True
15638,463379,419,learn,134,3,True
44121,575255,633,meet,162,2,False
79143,418480,677,apply,188,2,False
73506,804518,948,despite,193,3,False
12042,306035,257,forward,110,1,False
70078,523856,835,environment,118,4,False
15770,660433,629,media,54,3,False
60788,344587,310,too,83,4,True
36649,248668,577,catch,110,4,False
73273,980543,531,begin,152,2,True
60898,470184,746,protect,163,2,False
71049,478645,909,usually,103,3,False
36304,894573,426,hour,149,4,False
71254,654532,732,coach,178,3,True
31684,434793,655,series,195,2,False
639,90327,107,similar,194,3,True
20122,467502,789,partner,143,3,True
71741,172240,751,today,57,1,True
30237,339897,335,fine,129,4,False
26613,923692,844,police,196,3,True
41405,713341,366,military,140,4,True
60454,557535,234,rock,183,2,True
84842,259110,172,beat,144,1,True
12576,872108,867,ten,71,3,True
20368,571509,860,west,175,1,False
75590,956866,838,century,70,1,True
45856,631068,531,able,66,2,False
17305,392955,486,ever,86,4,True
77041,751762,942,past,137,2,False
10889,784534,643,doctor,142,4,False
38536,516828,515,admit,70,3,True
75678,927897,970,kid,180,3,False
95628,773727,391,suddenly,109,4,True
62987,654532,646,store,72,4,False
93108,228812,601,story,160,4,True
89416,384244,459,happy,61,2,False
17545,863461,162,plant,67,2,False
34767,434793,874,culture,97,1,True
52440,521436,878,again,82,4,False
35671,434793,321,part,179,1,True
64436,712109,670,write,88,4,True
97741,267708,450,glass,163,3,False
21225,197505,992,such,138,4,False
76397,248668,673,represent,109,1,False
72207,960380,200,foreign,57,3,False
29803,927897,267,population,103,3,True
43143,226303,233,difficult,175,2,True
72426,724541,727,understand,90,3,False
58181,816605,639,senior,66,2,False
60929,784534,529,financial,91,2,False
94604,938441,180,everything,82,1,False
35724,938441,954,result,145,4,False
7654,344587,810,story,62,4,True
23349,927897,909,meeting,119,1,False
45982,994408,340,behind,97,4,False
66328,392955,219,performance,148,1,False
46328,690508,419,understand,167,2,False
5195,887437,139,watch,143,1,True
98268,364673,856,safe,63,4,False
95892,519452,878,sort,104,4,True
4735,306193,154,rich,97,4,True
22571,239829,506,either,118,2,True
91474,370440,541,certain,137,3,True
57984,94835,141,great,115,1,True
79821,654651,807,out,76,1,True
67335,568432,402,so,127,2,True
55177,924514,212,same,81,1,False
38589,384244,238,beyond,146,3,False
4901,326621,909,against,111,4,True
53569,8214,151,high,179,2,True
46472,9027,462,goal,127,4,True
2324,197505,747,fear,103,1,False
26151,341453,580,listen,158,3,False
2916,486026,452,approach,123,2,False
89138,331138,179,as,129,3,False
53422,68090,387,television,129,4,False
51396,368142,180,control,62,3,True
97445,510885,651,student,167,3,False
42234,239829,978,who,167,2,True
16091,344587,280,husband,172,1,False
35208,838923,452,positive,191,3,True
83995,132973,977,system,90,4,False
51863,756263,824,compare,82,1,False
32879,986742,978,keep,165,2,True
26150,149798,163,lay,73,1,True
73936,350708,638,can,187,1,True
5171,270863,266,bad,145,2,True
53008,887511,587,adult,58,1,False
78953,575255,701,door,63,4,True
64470,205375,935,parent,70,3,False
51940,434793,999,pattern,60,1,True
75400,434793,451,bit,173,4,True
36323,206403,725,buy,96,4,False
65069,5391,168,despite,161,4,True
71048,956866,371,account,189,3,True
44276,855657,837,machine,128,4,False
73708,145673,432,conference,77,2,True
41181,312736,884,goal,85,4,True
50678,417564,493,identify,193,3,True
39472,989953,540,head,160,2,True
48854,463379,320,say,182,3,True
19935,713341,706,person,196,2,True
80122,306193,381,machine,156,2,False
2552,654651,795,meet,67,2,False
35781,828467,911,song,162,4,True
97722,724354,954,social,133,1,True
92074,344587,622,case,70,3,False
25321,223245,491,most,105,3,False
47152,784534,655,note,83,4,True
68114,376671,645,field,96,1,True
98564,938441,599,police,183,1,True
72449,168178,928,story,57,2,True
87865,239829,208,major,86,3,True
4967,923692,141,beautiful,166,2,True
3880,828467,730,car,91,4,False
92149,521436,349,contain,200,1,False
57510,757141,160,mouth,88,4,False
70861,829195,831,life,157,4,False
27768,734805,746,another,76,4,False
86851,820272,239,religious,174,4,False
67894,312736,261,dog,129,4,False
22368,960380,760,more,110,2,False
99269,820272,649,develop,69,4,False
24608,597065,220,despite,183,2,False
49586,149798,169,note,77,4,True
78655,418480,488,manager,162,1,True
16650,610697,960,data,148,1,False
54988,392955,465,decade,169,2,False
70015,833900,224,identify,77,3,False
87796,618291,307,learn,168,3,True
8621,63292,887,statement,59,3,False
36883,364673,583,lead,190,1,True
41612,256317,466,word,77,3,True
34969,816605,502,second,166,1,False
30464,751762,687,nor,153,3,True
33738,618291,706,onto,78,4,True
39023,341453,593,attorney,192,4,True
86827,986742,370,number,107,3,False
24282,959540,365,save,131,2,False
44828,853902,358,process,135,4,True
86445,580305,657,amount,190,4,False
87395,418919,133,public,129,1,True
88624,392955,463,traditional,159,1,True
54290,567566,847,hear,57,3,True
9423,602860,796,bag,59,2,False
93222,712109,521,fear,173,4,False
62995,872108,794,couple,71,4,True
80750,769300,471,win,128,2,True
41257,820272,717,newspaper,173,2,True
99297,989953,406,yes,103,2,True
29005,282559,648,certain,67,4,False
79569,395886,149,take,96,2,False
66558,887704,682,speech,95,3,False
65503,354993,213,future,133,1,False
72316,595375,262,truth,148,3,True
68197,112640,674,form,177,3,False
27584,567566,551,although,57,1,False
98280,484211,583,huge,197,2,False
28733,570204,813,should,145,1,False
3332,313181,951,shoulder,93,2,False
30654,751762,829,under,82,2,False
28254,839713,999,however,55,2,True
94683,8214,356,suddenly,107,4,False
11079,853902,519,east,183,4,False
41127,486026,948,matter,175,2,False
99973,42607,788,check,92,1,True
51672,900504,542,cultural,176,4,True
93670,184123,770,big,79,2,False
79210,927897,837,some,114,2,True
54282,769300,639,when,104,3,False
78957,993794,561,whom,56,2,False
14489,923692,648,concern,62,4,False
43047,112640,401,doctor,60,4,False
48658,28277,473,include,100,4,False
314,847809,472,reveal,130,1,True
17971,395886,505,partner,154,3,True
42669,86255,215,weight,184,4,True
75721,585517,364,want,198,1,True
17176,690508,205,task,51,4,False
91550,801604,182,to,160,2,True
50291,816605,370,parent,123,1,True
40173,417564,515,hour,185,2,False
51558,313181,493,house,112,4,True
55800,575255,254,activity,156,3,True
24219,989953,181,center,162,1,True
42935,463379,373,space,198,1,False
91754,660433,917,bill,158,3,False
72588,618291,970,unit,160,2,True
93221,535365,599,food,131,3,True
82973,76305,807,financial,57,2,False
55589,282559,708,certainly,169,4,True
91734,90327,625,candidate,95,4,False
42867,631678,771,nice,181,3,True
85622,109008,363,hair,104,3,False
80051,286438,764,dream,154,4,True
7983,660433,305,positive,183,4,True
14005,942535,743,drug,95,2,True
7008,8214,238,to,54,4,True
75896,223245,346,forget,121,1,True
69480,980543,108,age,103,2,False
13018,139134,698,we,147,4,True
59109,270863,191,daughter,117,4,True
63149,468472,354,necessary,196,1,False
68798,313181,663,may,71,2,False
18206,63292,716,bag,169,2,True
44422,239829,659,democratic,123,2,True
9132,66887,822,standard,162,3,False
58239,663113,613,network,126,2,True
87665,109008,857,sound,80,2,True
33093,287513,118,conference,70,2,False
8301,658768,250,product,184,4,False
46626,820272,928,let,102,4,True
12097,942535,471,goal,67,1,False
32195,567566,384,just,118,3,False
90962,410656,376,effect,190,2,True
66259,298512,876,success,89,4,True
20461,197505,339,support,104,3,False
60843,751894,965,month,140,2,True
88104,607054,376,edge,50,4,True
50816,784534,273,nothing,173,1,True
67448,395886,944,building,176,2,True
42558,887511,269,program,158,2,True
77223,246907,898,member,75,3,True
76417,326621,108,feeling,95,2,False
25685,751894,668,TV,123,4,False
9071,535365,266,quite,117,3,True
44648,570204,951,choice,79,1,False
31195,8214,957,cost,89,1,True
94081,844838,624,first,77,1,False
35377,87240,927,full,53,2,True
61004,5391,114,time,153,1,False
77343,417508,645,stuff,106,1,False
81451,724541,285,through,173,1,True
21208,521436,585,drive,125,4,False
32503,256317,619,fish,79,2,False
94776,956623,115,major,90,2,False
15291,801604,585,wall,157,1,True
64202,97333,605,art,87,3,True
55624,342236,775,pattern,94,4,False
77751,282559,728,popular,101,3,False
66292,583419,303,story,111,4,False
28015,391270,507,race,55,4,True
67621,696012,420,notice,173,4,True
87113,968654,366,put,125,1,False
15820,28277,478,who,64,4,True
28094,13265,633,space,161,1,True
51001,580305,994,five,130,1,True
61841,223245,229,clear,59,4,True
58435,887704,360,meeting,79,2,True
15763,297598,621,law,168,4,True
37599,109008,246,mention,101,4,False
66353,256317,886,my,54,2,True
75616,368142,674,price,190,1,False
44752,412930,243,music,165,2,False
39377,807448,151,money,61,1,True
20668,585517,827,concern,87,2,True
37011,989953,316,range,61,4,False
9263,751894,532,teacher,196,3,True
2230,270863,312,great,86,2,True
69668,549895,106,never,61,3,True
59954,862632,300,stuff,116,2,True
72190,956623,723,sometimes,72,2,True
35207,28671,317,wonder,176,3,False
54707,625256,789,something,177,4,False
72634,959540,961,hundred,164,2,True
69011,769300,613,protect,77,2,True
70023,575255,387,side,152,2,True
42050,192129,302,nice,56,4,False
36471,320366,747,soldier,191,4,True
85147,149798,131,and,137,1,True
82602,696012,728,father,147,2,True
37507,724354,813,choose,181,1,True
32319,660433,484,head,193,2,True
43208,86255,207,for,135,2,False
43884,784534,190,money,175,1,True
90433,326621,814,middle,61,3,False
28766,755599,783,audience,51,1,True
47318,751762,789,store,185,1,True
63980,625256,399,stuff,111,1,True
28920,168178,860,star,50,3,False
38498,417508,735,training,157,2,True
98027,112640,847,because,178,4,False
33003,164533,730,lose,107,4,False
54190,521436,482,company,54,3,True
48516,853902,915,east,58,1,True
86074,902975,544,traditional,72,4,False
41737,350708,583,stuff,169,3,False
20569,132973,901,real,187,3,False
65515,568432,720,true,198,4,False
74168,473639,977,much,162,2,True
52428,42607,861,kind,197,3,True
64339,37701,485,always,169,3,True
896,654532,305,share,192,2,True
75308,792939,303,listen,103,1,False
65007,956623,937,light,137,1,False
59919,962254,934,face,131,4,True
70198,963755,602,risk,58,1,False
69546,690508,492,he,73,4,False
99587,956623,474,late,53,2,True
39469,312736,953,remember,165,1,True
58041,109008,468,role,137,3,False
74672,109008,514,present,62,3,False
18397,468472,317,community,113,4,False
44081,331138,761,stay,63,1,True
58302,944717,764,international,186,1,True
69192,862226,758,exist,165,2,True
65720,410656,203,without,110,4,True
21131,302786,678,draw,151,3,False
28518,516828,559,stop,199,4,False
40189,923692,657,fly,114,4,False
62656,418480,599,husband,85,2,False
60107,287513,599,would,167,1,False
65924,484211,191,bad,157,3,False
48629,580305,187,relate,115,3,False
53735,382147,965,treat,171,2,False
74421,847809,929,kitchen,110,4,True
63248,838923,802,miss,104,3,False
