payment_id,booking_id,amount,payment_date
188855,233482,7331.83,2023-04-13
447881,935691,3739.35,2022-09-10
795976,198248,656.05,2022-12-07
428561,814169,595.86,2023-05-04
668864,524118,9579.35,2022-09-10
727973,761680,1696.45,2023-03-15
982835,174134,9184.77,2023-06-04
558688,394363,2477.60,2022-08-22
278414,375708,8564.03,2023-03-27
955398,988246,8397.94,2022-11-08
697620,526073,6852.06,2023-05-16
159326,710294,9366.32,2023-06-29
909567,196915,8580.52,2023-06-25
921775,54588,6442.62,2022-08-25
692845,83993,6357.98,2023-05-03
939727,704566,149.04,2022-09-19
419056,71093,5835.47,2022-12-18
580448,620480,1330.25,2022-11-27
809131,394363,7909.95,2023-06-23
581062,911283,8912.49,2022-12-16
61543,75694,925.36,2022-12-05
563897,583325,8679.41,2022-11-23
728581,406815,5960.02,2023-04-12
694206,694233,8559.08,2023-01-15
973601,51580,2717.91,2022-09-06
418345,487860,6478.01,2023-03-12
712628,746539,5958.78,2022-08-31
406959,73585,1701.34,2023-03-11
81663,916849,249.01,2022-10-03
722984,228226,7165.21,2023-07-21
441245,562985,8175.04,2023-06-30
282356,459318,3085.03,2022-09-16
375221,409138,6812.56,2023-04-16
871265,931537,7144.65,2022-10-10
758431,499910,6354.59,2023-07-11
3687,417323,7393.34,2022-11-26
435233,748311,394.10,2022-11-08
106846,261830,498.67,2022-12-16
244624,449299,6283.15,2022-09-09
530633,61577,8593.06,2023-03-01
79363,792006,6950.26,2023-06-18
699671,603790,6205.32,2022-09-14
168517,980301,6392.78,2023-06-03
532473,938789,9639.61,2023-05-06
277476,692667,7261.71,2022-08-27
957541,673881,1564.62,2023-04-10
38072,223698,7679.53,2023-06-18
305328,810910,6215.53,2023-05-15
949573,451927,983.17,2023-03-16
630622,711303,1920.08,2022-10-07
967895,981637,9765.05,2022-12-05
453689,810547,1701.57,2023-03-18
591097,626101,202.29,2022-11-18
513029,667644,7600.24,2023-02-19
34810,674008,5741.09,2023-08-04
996803,190098,2931.66,2023-05-24
943689,874745,630.72,2023-07-16
366082,212532,5520.01,2023-02-03
395399,242547,2774.65,2022-11-19
868588,139929,7904.09,2022-11-08
208177,542067,3433.10,2023-03-03
142445,638232,1416.65,2022-12-25
383671,749652,6473.35,2022-11-16
936439,673871,2578.86,2023-03-20
582944,178980,482.64,2023-02-28
752006,61334,8160.27,2023-03-30
524354,248347,3545.22,2023-01-29
898749,599638,7946.32,2023-03-30
92858,712118,85.32,2023-03-04
572385,909722,5245.26,2023-02-19
6026,672378,9296.70,2023-01-09
987100,553018,2216.65,2022-10-26
732151,405753,7309.21,2022-08-11
918820,753529,6540.14,2022-10-09
488370,675249,2139.19,2023-05-03
526976,547540,9162.70,2023-03-20
826841,484415,54.74,2023-03-11
81961,889684,5842.44,2023-04-05
